student_id,student_profile,relevant_faculty_ids,relevant_faculty_names,label_status
S001,Machine learning based agricultural disease detection using computer vision,cec471ed-babe-4760-a01a-e18603f94370|bdc60942-6f9d-46a3-a2fb-14bc7ca7f219,Dr. N. Aishwarya|Dr. C. Ganesh Kumar,PROVISIONAL — validate with faculty/guide before using as research ground truth
S002,FPGA based hardware accelerator for deep learning inference,9215d38d-d219-4a58-94ba-c7ca2255c097|659df437-f537-4198-9e66-ddf5838d93cc,A. C. Sakkthi Saranya|Dr. V. Thenmozhi,PROVISIONAL — validate with faculty/guide before using as research ground truth
S003,IoT based smart healthcare monitoring system,5aa4a218-aff9-45fb-b798-66f47bb022bf|c7d78c49-3d57-42e0-99ef-64f501763077|4f3074ad-b2c5-4a0c-90f9-fefb63457656,Dr. Ravichandran M.|Dr. Sita Devi Bharatula|Dr. Gayathri M.,PROVISIONAL — validate with faculty/guide before using as research ground truth
S004,Deep learning for face recognition and image classification,cec471ed-babe-4760-a01a-e18603f94370|63583238-856b-48b5-ab5a-ad776a9de44f,Dr. N. Aishwarya|Dr. P. Mathivanan,PROVISIONAL — validate with faculty/guide before using as research ground truth
S005,Embedded system for real-time vehicle fault detection,5aa4a218-aff9-45fb-b798-66f47bb022bf|bdc60942-6f9d-46a3-a2fb-14bc7ca7f219,Dr. Ravichandran M.|Dr. C. Ganesh Kumar,PROVISIONAL — validate with faculty/guide before using as research ground truth
S006,Natural language processing system for academic document analysis,9dc9d7cb-dc3a-49cc-9e94-3c1da75a9935|cb3c993e-a845-4f27-a54f-2deb7f526a6b,Dr. Jeyalakshmi S.|Dr. K. Anitha,PROVISIONAL — validate with faculty/guide before using as research ground truth
S007,Cybersecurity intrusion detection using machine learning,5aa4a218-aff9-45fb-b798-66f47bb022bf,Dr. Ravichandran M.,PROVISIONAL — validate with faculty/guide before using as research ground truth
S008,Blockchain based secure academic certificate verification,5aa4a218-aff9-45fb-b798-66f47bb022bf,Dr. Ravichandran M.,PROVISIONAL — validate with faculty/guide before using as research ground truth
S009,Cloud based student learning management platform,5aa4a218-aff9-45fb-b798-66f47bb022bf,Dr. Ravichandran M.,PROVISIONAL — validate with faculty/guide before using as research ground truth
S010,Database optimization and intelligent query processing,cb3c993e-a845-4f27-a54f-2deb7f526a6b,Dr. K. Anitha,PROVISIONAL — validate with faculty/guide before using as research ground truth
S011,Wireless sensor network for environmental monitoring,4f3074ad-b2c5-4a0c-90f9-fefb63457656|c7d78c49-3d57-42e0-99ef-64f501763077,Dr. Gayathri M.|Dr. Sita Devi Bharatula,PROVISIONAL — validate with faculty/guide before using as research ground truth
S012,VLSI design of a low-power digital signal processing unit,9215d38d-d219-4a58-94ba-c7ca2255c097|659df437-f537-4198-9e66-ddf5838d93cc,A. C. Sakkthi Saranya|Dr. V. Thenmozhi,PROVISIONAL — validate with faculty/guide before using as research ground truth
S013,Computer vision based traffic sign detection,cec471ed-babe-4760-a01a-e18603f94370|bdc60942-6f9d-46a3-a2fb-14bc7ca7f219,Dr. N. Aishwarya|Dr. C. Ganesh Kumar,PROVISIONAL — validate with faculty/guide before using as research ground truth
S014,Recommender system for personalized course recommendations,cb3c993e-a845-4f27-a54f-2deb7f526a6b,Dr. K. Anitha,PROVISIONAL — validate with faculty/guide before using as research ground truth
S015,Deep learning based medical image classification,cec471ed-babe-4760-a01a-e18603f94370|63583238-856b-48b5-ab5a-ad776a9de44f,Dr. N. Aishwarya|Dr. P. Mathivanan,PROVISIONAL — validate with faculty/guide before using as research ground truth
S016,Robotics system using computer vision and embedded control,c3fb3c53-b6f4-4d34-90a2-2ea4c148aa9c|cec471ed-babe-4760-a01a-e18603f94370,Dr. Dev Kunwar Singh Chauhan|Dr. N. Aishwarya,PROVISIONAL — validate with faculty/guide before using as research ground truth
S017,Edge AI system for predictive maintenance of industrial machines,bdc60942-6f9d-46a3-a2fb-14bc7ca7f219|5aa4a218-aff9-45fb-b798-66f47bb022bf|66540e57-70bf-49dc-87e7-cad7930070ff,Dr. C. Ganesh Kumar|Dr. Ravichandran M.|Dr. Rishi Kumar,PROVISIONAL — validate with faculty/guide before using as research ground truth
S018,Natural language chatbot for college student support,9dc9d7cb-dc3a-49cc-9e94-3c1da75a9935|cb3c993e-a845-4f27-a54f-2deb7f526a6b,Dr. Jeyalakshmi S.|Dr. K. Anitha,PROVISIONAL — validate with faculty/guide before using as research ground truth
S019,IoT enabled smart agriculture monitoring and automation,4f3074ad-b2c5-4a0c-90f9-fefb63457656|c7d78c49-3d57-42e0-99ef-64f501763077|5aa4a218-aff9-45fb-b798-66f47bb022bf,Dr. Gayathri M.|Dr. Sita Devi Bharatula|Dr. Ravichandran M.,PROVISIONAL — validate with faculty/guide before using as research ground truth
S020,Mobile edge computing for low-latency IoT applications,c7d78c49-3d57-42e0-99ef-64f501763077|7b9457d9-e225-4c3a-b130-481dca39fd84,Dr. Sita Devi Bharatula|Simhadri Ravishankar,PROVISIONAL — validate with faculty/guide before using as research ground truth
S021,Secure authentication system using biometric recognition,5aa4a218-aff9-45fb-b798-66f47bb022bf|cec471ed-babe-4760-a01a-e18603f94370,Dr. Ravichandran M.|Dr. N. Aishwarya,PROVISIONAL — validate with faculty/guide before using as research ground truth
S022,Data mining approach for predicting student academic performance,cb3c993e-a845-4f27-a54f-2deb7f526a6b|2d2c3870-23d2-4a64-b298-c4b79937cd3d,Dr. K. Anitha|Dr. M. Ajithkumar,PROVISIONAL — validate with faculty/guide before using as research ground truth
S023,Computer networks based intrusion and anomaly detection,5aa4a218-aff9-45fb-b798-66f47bb022bf|c7d78c49-3d57-42e0-99ef-64f501763077,Dr. Ravichandran M.|Dr. Sita Devi Bharatula,PROVISIONAL — validate with faculty/guide before using as research ground truth
S024,Energy-efficient embedded system for wearable devices,5aa4a218-aff9-45fb-b798-66f47bb022bf|c7d78c49-3d57-42e0-99ef-64f501763077,Dr. Ravichandran M.|Dr. Sita Devi Bharatula,PROVISIONAL — validate with faculty/guide before using as research ground truth
S025,FPGA implementation of an image processing pipeline,659df437-f537-4198-9e66-ddf5838d93cc|9215d38d-d219-4a58-94ba-c7ca2255c097|cec471ed-babe-4760-a01a-e18603f94370,Dr. V. Thenmozhi|A. C. Sakkthi Saranya|Dr. N. Aishwarya,PROVISIONAL — validate with faculty/guide before using as research ground truth
S026,Large language model based question answering over academic PDFs,cec471ed-babe-4760-a01a-e18603f94370|cb3c993e-a845-4f27-a54f-2deb7f526a6b,Dr. N. Aishwarya|Dr. K. Anitha,PROVISIONAL — validate with faculty/guide before using as research ground truth
S027,Predictive analytics for detecting failures in electric vehicles,bdc60942-6f9d-46a3-a2fb-14bc7ca7f219|5aa4a218-aff9-45fb-b798-66f47bb022bf,Dr. C. Ganesh Kumar|Dr. Ravichandran M.,PROVISIONAL — validate with faculty/guide before using as research ground truth
S028,Distributed database system for scalable academic applications,cb3c993e-a845-4f27-a54f-2deb7f526a6b,Dr. K. Anitha,PROVISIONAL — validate with faculty/guide before using as research ground truth
S029,Autonomous robot navigation using machine learning,c3fb3c53-b6f4-4d34-90a2-2ea4c148aa9c|5aa4a218-aff9-45fb-b798-66f47bb022bf,Dr. Dev Kunwar Singh Chauhan|Dr. Ravichandran M.,PROVISIONAL — validate with faculty/guide before using as research ground truth
S030,Speech recognition and natural language processing for regional languages,9dc9d7cb-dc3a-49cc-9e94-3c1da75a9935|fed0b692-eb7a-49a4-8ff0-f1729703d7f5,Dr. Jeyalakshmi S.|Hariharan M.,PROVISIONAL — validate with faculty/guide before using as research ground truth
